GenA	GenB	MI
ACAP1	RASAL3	0.546959
NCKAP1L	FERMT3	0.541789
WAS	LCP2	0.539481
RASAL3	ARHGAP9	0.538344
ACAP1	ARHGAP9	0.526889
SASH3	SPN	0.511272
BTK	FERMT3	0.506977
SPI1	FCER1G	0.505394
GIMAP6	GIMAP1	0.504868
TYROBP	FCER1G	0.496951
NCKAP1L	SNX20	0.495055
SPI1	CSF1R	0.489716
RAD1	DNAJC21	0.488354
BTK	MS4A6A	0.487492
RAD1	NIPBL	0.486283
C3AR1	LRRC25	0.485753
THEM5	C2CD4D-AS1	0.485186
RAD1	NUP155	0.484304
BCL7C	CASZ1	0.483055
ARHGAP9	PTPN7	0.482765
LCP2	APBB1IP	0.478672
WAS	APBB1IP	0.476829
SASH3	SNX20	0.47604
DIPK2B	ARHGEF15	0.472632
MNDA	SLC39A13-AS1	0.471983
MYCT1	DIPK2B	0.468887
RASAL3	PTPN7	0.465942
MAP4K1	SEPTIN1	0.465257
NUP155	NIPBL	0.463207
BTK	NCKAP1L	0.462188
TYROBP	AIF1	0.46206
ELOB	NSMCE1	0.461428
RNF4	TNIP2	0.459194
WAS	ARHGAP9	0.456843
WAS	NCKAP1L	0.4561
DROSHA	NUP155	0.454434
ACAP1	SEPTIN1	0.452381
C5orf22	RAD1	0.452167
TESPA1	IL16	0.451866
CD86	FCER1G	0.451751
DROSHA	NIPBL	0.45149
TYROBP	C3AR1	0.451431
FAM78A	PTPN7	0.451242
STXBP2	BTBD2	0.450715
BCL7C	CCDC57	0.450312
NCKAP1L	DOCK2	0.449799
SASH3	PTPN7	0.449516
RAD1	ZNF131	0.449394
TYROBP	SPI1	0.448587
DROSHA	RAD1	0.448045
TEK	DIPK2B	0.447309
RASAL3	FAM78A	0.446933
H2BC5	H2AC6	0.44687
SASH3	GIMAP6	0.446224
H2BC19P	H2BC20P	0.446111
PLVAP	GPR4	0.445854
WAS	FERMT3	0.445495
SASH3	NCKAP1L	0.444887
TYROBP	MS4A6A	0.444028
DOCK2	IKZF1	0.443018
TEK	ADGRL4	0.442814
DROSHA	BRIX1	0.442658
MS4A6A	FERMT3	0.441329
WAS	MYO1F	0.44114
NLRC3	LCK	0.440508
MS4A6A	NCKAP1L	0.439765
ARCN1	STT3A	0.43904
RIC1	BRD10	0.438552
BTK	TYROBP	0.438077
UBP1	BRPF1	0.436728
SPI1	CD86	0.435854
SNX20	SPN	0.435734
DIPK2B	EMCN	0.434627
ACAP1	MAP4K1	0.433746
RANBP3	HDGFL2	0.433225
WAS	GAB3	0.433074
NOVA2	HSPA12B	0.432842
CLEC14A	ARHGEF15	0.430888
RNASE6	AIF1	0.430442
PTPN7	SPN	0.430403
PTPN7	NLRC3	0.430179
NCKAP1L	TRPV2	0.430147
RAD1	RIMOC1	0.429254
TEK	S1PR1	0.429005
ZNF302	ZNF181	0.428561
NUP155	DNAJC21	0.42841
PAFAH1B1	TIMM22	0.428094
TEK	CLEC14A	0.42784
NIPBL	DNAJC21	0.427291
DOCK2	SNX20	0.427187
BABAM1	COPE	0.427026
TYROBP	FERMT3	0.426243
ZNF131	RIMOC1	0.42582
RNF4	LETM1	0.425735
MYO1F	FERMT3	0.425641
GPR65	GIMAP1	0.424911
SASH3	DOCK2	0.42441
WAS	SASH3	0.42424
CYTH4	FERMT3	0.423929
DIPK2B	CD34	0.423549
TASL	TNFAIP8L2	0.423106
CD86	FPR3	0.422657
CYTH4	MYO1F	0.422162
GTF2IRD2B	GTF2IRD2	0.421914
DIPK2B	CLEC14A	0.421736
RASAL3	NLRC3	0.42132
NUP155	SKP2	0.421292
ARHGAP9	NLRC3	0.420894
ZNF525	ZNF845	0.420346
GIMAP6	GPR65	0.420313
C5orf22	DNAJC21	0.419946
C5orf22	GOLPH3	0.419899
ACAP1	PTPN7	0.419575
SPI1	MNDA	0.41896
NCKAP1L	GAB3	0.41877
TEK	ARHGEF15	0.418745
TEK	CD93	0.418738
RASAL3	SEPTIN1	0.418369
FCER1G	C3AR1	0.418224
MARK3	BRF1	0.417747
FERMT3	SNX20	0.417041
TASL	CD180	0.417038
SMUG1	MMAB	0.416888
ADGRL4	CD34	0.416827
FCER1G	AIF1	0.416374
NSUN2	TENT4A	0.416341
TIE1	DIPK2B	0.416249
MS4A6A	CD86	0.415789
ALKBH1	MED6	0.415581
WAS	SNX20	0.414805
BRIX1	NIPBL	0.414749
PCDH17	ADGRL4	0.414474
WAS	TESPA1	0.414426
C3AR1	AIF1	0.414386
LCP2	PIK3R6	0.413779
