GenA	GenB	MI
NCKAP1L	DOCK2	0.6741
BCL7C	CCDC57	0.657645
ACAP1	RASAL3	0.648945
RASAL3	ARHGAP9	0.625476
BCL7C	NSMCE1	0.623642
TYROBP	FCER1G	0.61277
ACAP1	SEPTIN1	0.607322
RASAL3	PTPN7	0.601372
SASH3	SPN	0.592874
BTK	NCKAP1L	0.592145
ACAP1	ARHGAP9	0.590835
RASAL3	SEPTIN1	0.585178
WAS	LCP2	0.580393
PLVAP	GPR4	0.579493
ARHGAP9	PTPN7	0.574931
SASH3	NCKAP1L	0.569168
BTK	FERMT3	0.569136
SASH3	DOCK2	0.565462
C3AR1	LRRC25	0.565289
NCKAP1L	MYO1F	0.562446
ELOB	NSMCE1	0.561463
PIK3CG	NCKAP1L	0.558001
CD4	NCKAP1L	0.556993
FERMT3	TRPV2	0.5568
SASH3	GIMAP6	0.554948
LCP2	NCKAP1L	0.552825
H2BC19P	H2BC20P	0.551956
NSMCE1	CCDC57	0.549197
DIPK2B	ARHGEF15	0.547071
MYO1F	FERMT3	0.544371
WAS	NCKAP1L	0.543323
DOCK2	IKZF1	0.542967
SASH3	SNX20	0.542872
SPI1	CSF1R	0.541555
THEM5	C2CD4D-AS1	0.540093
SASH3	PTPN7	0.53951
RASAL3	NLRC3	0.538677
DOCK2	FERMT3	0.538467
DOCK2	PIK3R5	0.537316
PIK3CG	DOCK2	0.537223
BCL7C	ELOB	0.536476
NCKAP1L	SNX20	0.53505
PPP1R14B	PPP1R14BP3	0.534191
MAP4K1	SEPTIN1	0.532158
WAS	MYO1F	0.531472
KDM4C	BRD10	0.530258
LCP2	APBB1IP	0.529212
RIC1	BRD10	0.526049
BCL7C	CASZ1	0.525531
CASZ1	CCDC57	0.520742
DDX12B	DDX12P	0.519639
SMUG1	NSMCE1	0.519373
CYTH4	MYO1F	0.518356
ACAP1	PTPN7	0.517195
SMUG1	MMAB	0.516252
CORO1A	RASAL3	0.515574
WAS	FERMT3	0.515223
RASAL3	FAM78A	0.514266
GIMAP6	GIMAP1	0.513677
LCP2	DOCK2	0.512922
RASAL3	SASH3	0.512823
LCP2	MYO1F	0.512017
RASAL3	LCK	0.511927
DIPK2B	CD34	0.511765
LCP2	FERMT3	0.509718
WAS	ARHGAP9	0.507727
TEK	DIPK2B	0.507452
SASH3	FERMT3	0.506937
SASH3	IL16	0.506513
EEF1A1P12	EEF1A1P9	0.506188
ADGRF5	PLVAP	0.50611
MYCT1	DIPK2B	0.505894
CORO1A	PTPN7	0.505849
ADGRF5	ADGRL4	0.505665
ACAP1	NLRC3	0.504686
NCKAP1L	TRPV2	0.503747
SEPTIN1	LCK	0.502737
WAS	GAB3	0.501744
APBB1IP	NCKAP1L	0.501479
NLRC3	SEPTIN1	0.50139
SMUG1	CASZ1	0.50002
TYROBP	C3AR1	0.498496
RASAL3	IL16	0.498368
RAD1	DNAJC21	0.498157
CD33	CSF1R	0.497895
SASH3	FAM78A	0.497387
KDM4C	UHRF2	0.497356
PIK3CG	IKZF1	0.496223
NAA15	ABCE1	0.494912
NCKAP1L	PIK3R5	0.494707
C3AR1	FPR3	0.494688
BCL7C	SMUG1	0.494478
FOXP3	HNRNPA1P21	0.491847
ARCN1	STT3A	0.49147
FARS2	LYRM4	0.490595
ARCN1	SRPRA	0.490233
WAS	DOCK2	0.489433
PIK3CG	SASH3	0.489383
SNX20	SPN	0.48724
CD86	FCER1G	0.486846
APBB1IP	DOCK2	0.4866
SMUG1	CCDC57	0.486245
WAS	CD37	0.486069
LCP2	SASH3	0.485876
SPI1	CD86	0.485374
WAS	PIK3CG	0.484384
CD37	FERMT3	0.484184
TEK	ARHGEF15	0.483599
CD37	SASH3	0.483495
ACAP1	LCK	0.4829
ARHGAP9	SEPTIN1	0.482817
DISP1	CCDC57	0.482678
CD4	SPI1	0.482062
CD86	HAVCR2	0.481808
WAS	SNX20	0.481674
DOCK2	MYO1F	0.481372
ACAP1	MAP4K1	0.48125
CKMT1A	CKMT1B	0.48085
CD4	FERMT3	0.480703
PTPN7	SPN	0.480353
WAS	APBB1IP	0.479914
APBB1IP	FERMT3	0.479393
WAS	RASAL3	0.479371
CD4	BTK	0.478748
MAP4K1	RASAL3	0.477995
